host,app,status
S-DC-EXC0101,OWA,ok
S-DC-EXC0101,MAPI,ok
S-DC-EXC0101,RPC,ok
S-DC-EXC0101,Autodiscover,ok
S-DC-EXC0101,Powershell,ok
S-DC-EXC0101,EWS,ok
S-DC-EXC0101,ECP,ok
S-DC-EXC0101,OAB,ok
S-DC-EXC0101,Services,ok
S-DC-EXC0101,Replication,ok
S-DC-EXC0101,MRS,ok
S-DC-EXC0101,MAPI-Connectivity,ok
S-DC-EXC0101,Maintenance,ok
S-DC-EXC0101,Active DBs,ok
S-DC-EXC0101,Passive DBs,ok
S-DC-EXC0101,Disks,ok
S-DC-EXC0101,BitLocker,ok
S-DC-EXC0101,Anti-Malware,ok
S-DC-EXC0101,PendingReboot,ok
S-DC-EXC0102,OWA,ok
S-DC-EXC0102,MAPI,ok
S-DC-EXC0102,RPC,ok
S-DC-EXC0102,Autodiscover,ok
S-DC-EXC0102,Powershell,ok
S-DC-EXC0102,EWS,ok
S-DC-EXC0102,ECP,ok
S-DC-EXC0102,OAB,ok
S-DC-EXC0102,Services,ok
S-DC-EXC0102,Replication,ok
S-DC-EXC0102,MRS,ok
S-DC-EXC0102,MAPI-Connectivity,ok
S-DC-EXC0102,Maintenance,ok
S-DC-EXC0102,Active DBs,ok
S-DC-EXC0102,Passive DBs,ok
S-DC-EXC0102,Disks,ok
S-DC-EXC0102,BitLocker,ok
S-DC-EXC0102,Anti-Malware,ok
S-DC-EXC0102,PendingReboot,ok
S-DC-EXC0103,OWA,ok
S-DC-EXC0103,MAPI,ok
S-DC-EXC0103,RPC,ok
S-DC-EXC0103,Autodiscover,ok
S-DC-EXC0103,Powershell,ok
S-DC-EXC0103,EWS,ok
S-DC-EXC0103,ECP,ok
S-DC-EXC0103,OAB,ok
S-DC-EXC0103,Services,ok
S-DC-EXC0103,Replication,ok
S-DC-EXC0103,MRS,ok
S-DC-EXC0103,MAPI-Connectivity,ok
S-DC-EXC0103,Maintenance,ok
S-DC-EXC0103,Active DBs,ok
S-DC-EXC0103,Passive DBs,ok
S-DC-EXC0103,Disks,ok
S-DC-EXC0103,BitLocker,ok
S-DC-EXC0103,Anti-Malware,ok
S-DC-EXC0103,PendingReboot,ok
S-DC-EXC0104,OWA,ok
S-DC-EXC0104,MAPI,ok
S-DC-EXC0104,RPC,ok
S-DC-EXC0104,Autodiscover,ok
S-DC-EXC0104,Powershell,ok
S-DC-EXC0104,EWS,ok
S-DC-EXC0104,ECP,ok
S-DC-EXC0104,OAB,ok
S-DC-EXC0104,Services,ok
S-DC-EXC0104,Replication,ok
S-DC-EXC0104,MRS,ok
S-DC-EXC0104,MAPI-Connectivity,ok
S-DC-EXC0104,Maintenance,ok
S-DC-EXC0104,Active DBs,no
S-DC-EXC0104,Passive DBs,ok
S-DC-EXC0104,Disks,no
S-DC-EXC0104,BitLocker,ok
S-DC-EXC0104,Anti-Malware,ok
S-DC-EXC0104,PendingReboot,ok
S-DC-EXC0105,OWA,ok
S-DC-EXC0105,MAPI,ok
S-DC-EXC0105,RPC,ok
S-DC-EXC0105,Autodiscover,ok
S-DC-EXC0105,Powershell,ok
S-DC-EXC0105,EWS,ok
S-DC-EXC0105,ECP,ok
S-DC-EXC0105,OAB,ok
S-DC-EXC0105,Services,ok
S-DC-EXC0105,Replication,ok
S-DC-EXC0105,MRS,ok
S-DC-EXC0105,MAPI-Connectivity,ok
S-DC-EXC0105,Maintenance,ok
S-DC-EXC0105,Active DBs,ok
S-DC-EXC0105,Passive DBs,ok
S-DC-EXC0105,Disks,ok
S-DC-EXC0105,BitLocker,ok
S-DC-EXC0105,Anti-Malware,ok
S-DC-EXC0105,PendingReboot,ok
S-DC-EXC0106,OWA,ok
S-DC-EXC0106,MAPI,ok
S-DC-EXC0106,RPC,ok
S-DC-EXC0106,Autodiscover,ok
S-DC-EXC0106,Powershell,ok
S-DC-EXC0106,EWS,ok
S-DC-EXC0106,ECP,ok
S-DC-EXC0106,OAB,ok
S-DC-EXC0106,Services,ok
S-DC-EXC0106,Replication,ok
S-DC-EXC0106,MRS,ok
S-DC-EXC0106,MAPI-Connectivity,ok
S-DC-EXC0106,Maintenance,ok
S-DC-EXC0106,Active DBs,ok
S-DC-EXC0106,Passive DBs,ok
S-DC-EXC0106,Disks,ok
S-DC-EXC0106,BitLocker,ok
S-DC-EXC0106,Anti-Malware,ok
S-DC-EXC0106,PendingReboot,ok
S-DC-EXC0107,OWA,ok
S-DC-EXC0107,MAPI,ok
S-DC-EXC0107,RPC,ok
S-DC-EXC0107,Autodiscover,ok
S-DC-EXC0107,Powershell,ok
S-DC-EXC0107,EWS,ok
S-DC-EXC0107,ECP,ok
S-DC-EXC0107,OAB,ok
S-DC-EXC0107,Services,ok
S-DC-EXC0107,Replication,ok
S-DC-EXC0107,MRS,ok
S-DC-EXC0107,MAPI-Connectivity,ok
S-DC-EXC0107,Maintenance,ok
S-DC-EXC0107,Active DBs,ok
S-DC-EXC0107,Passive DBs,ok
S-DC-EXC0107,Disks,ok
S-DC-EXC0107,BitLocker,ok
S-DC-EXC0107,Anti-Malware,ok
S-DC-EXC0107,PendingReboot,ok
S-DC-EXC0108,OWA,ok
S-DC-EXC0108,MAPI,ok
S-DC-EXC0108,RPC,ok
S-DC-EXC0108,Autodiscover,ok
S-DC-EXC0108,Powershell,ok
S-DC-EXC0108,EWS,ok
S-DC-EXC0108,ECP,ok
S-DC-EXC0108,OAB,ok
S-DC-EXC0108,Services,ok
S-DC-EXC0108,Replication,ok
S-DC-EXC0108,MRS,ok
S-DC-EXC0108,MAPI-Connectivity,ok
S-DC-EXC0108,Maintenance,ok
