sender,receiver,bytes
dopeyFerret0,drearyMeerkat1,876
peacefulPlover6,superiorEland9,910
madAntelope2,gutturalCow2,650
thriftyViper3,madChough4,467
jealousCow9,peacefulPlover6,309
madAntelope2,dopeyFerret0,634
superiorEland9,euphoricBaboon9,739
gutturalCow2,madAntelope2,263
jealousFlamingo1,superiorEland9,539
peacefulPlover6,madChough4,424
wingedPonie8,peacefulPlover6,755
mildStork5,wrathfulChough0,908
worriedDove6,madChough4,915
thriftyViper3,drearyMeerkat1,755
peacefulPlover6,thriftyViper3,341
peacefulPlover6,euphoricBaboon9,247
enviousApples3,madChough4,504
drearyMeerkat1,mildStork5,920
worriedDove6,mildStork5,747
stressedCheese8,gutturalCow2,993
stressedCheese8,peacefulPlover6,347
gutturalCow2,madChough4,922
thriftyViper3,jealousFlamingo1,778
worriedDove6,drearyMeerkat1,882
wrathfulChough0,wingedPonie8,787
gutturalCow2,peacefulPlover6,548
gutturalCow2,madChough4,498
drearyMeerkat1,superiorEland9,991
drearyMeerkat1,jealousCow9,400
madAntelope2,jealousCow9,109
madAntelope2,jealousFlamingo1,887
gutturalCow2,superiorEland9,181
enviousApples3,betrayedEggs5,322
jealousCow9,wingedPonie8,208
dopeyFerret0,superiorEland9,880
gutturalCow2,drearyMeerkat1,948
gutturalCow2,wrathfulChough0,565
thriftyViper3,sheepishHare2,440
worriedDove6,gutturalCow2,670
mildStork5,mildStork5,691
worriedDove6,euphoricBaboon9,254
thriftyViper3,superiorEland9,697
drearyMeerkat1,jealousFlamingo1,750
enviousApples3,drearyMeerkat1,109
sheepishHare2,madChough4,133
sheepishHare2,exactingFish4,936
madAntelope2,jealousCow9,270
dopeyFerret0,madAntelope2,299
stressedCheese8,madChough4,531
jealousFlamingo1,superiorEland9,334
exactingFish4,madAntelope2,826
euphoricBaboon9,dopeyFerret0,663
euphoricBaboon9,drearyMeerkat1,284
madChough4,jealousFlamingo1,262
sheepishHare2,jealousCow9,221
peacefulPlover6,jealousFlamingo1,842
euphoricBaboon9,gutturalCow2,155
drearyMeerkat1,thriftyViper3,379
exactingFish4,thriftyViper3,418
enviousApples3,betrayedEggs5,150
wrathfulChough0,dopeyFerret0,117
mildStork5,enviousApples3,501
stressedCheese8,wingedPonie8,541
superiorEland9,wrathfulChough0,838
stressedCheese8,gutturalCow2,838
betrayedEggs5,jealousFlamingo1,324
jealousFlamingo1,euphoricBaboon9,924
jealousFlamingo1,stressedCheese8,843
betrayedEggs5,jealousCow9,104
superiorEland9,mildStork5,217
gutturalCow2,thriftyViper3,834
euphoricBaboon9,mildStork5,162
wrathfulChough0,superiorEland9,299
wrathfulChough0,mildStork5,176
worriedDove6,superiorEland9,478
thriftyViper3,worriedDove6,249
jealousCow9,wrathfulChough0,425
wrathfulChough0,wingedPonie8,148
worriedDove6,drearyMeerkat1,370
gutturalCow2,sheepishHare2,506
gutturalCow2,euphoricBaboon9,168
gutturalCow2,enviousApples3,538
wrathfulChough0,thriftyViper3,857
jealousFlamingo1,jealousFlamingo1,168
jealousCow9,jealousCow9,866
dopeyFerret0,stressedCheese8,784
jealousFlamingo1,wingedPonie8,786
betrayedEggs5,peacefulPlover6,903
gutturalCow2,jealousCow9,174
betrayedEggs5,thriftyViper3,566
wrathfulChough0,superiorEland9,736
peacefulPlover6,stressedCheese8,173
wingedPonie8,thriftyViper3,332
enviousApples3,madAntelope2,719
stressedCheese8,sheepishHare2,163
euphoricBaboon9,mildStork5,665
wingedPonie8,mildStork5,461
madChough4,betrayedEggs5,439
betrayedEggs5,wingedPonie8,665
enviousApples3,exactingFish4,473
wrathfulChough0,drearyMeerkat1,652
mildStork5,mildStork5,636
wingedPonie8,jealousCow9,426
sheepishHare2,worriedDove6,476
betrayedEggs5,drearyMeerkat1,251
betrayedEggs5,euphoricBaboon9,154
superiorEland9,madChough4,791
drearyMeerkat1,madAntelope2,258
gutturalCow2,dopeyFerret0,293
jealousFlamingo1,wingedPonie8,764
wingedPonie8,mildStork5,186
wingedPonie8,wrathfulChough0,658
mildStork5,mildStork5,271
enviousApples3,sheepishHare2,189
superiorEland9,euphoricBaboon9,197
madAntelope2,betrayedEggs5,275
peacefulPlover6,madChough4,627
betrayedEggs5,stressedCheese8,968
superiorEland9,worriedDove6,331
wrathfulChough0,mildStork5,128
madChough4,drearyMeerkat1,835
jealousFlamingo1,wingedPonie8,340
euphoricBaboon9,superiorEland9,221
gutturalCow2,madAntelope2,481
enviousApples3,madChough4,144
superiorEland9,mildStork5,657
jealousCow9,madChough4,985
dopeyFerret0,stressedCheese8,964
thriftyViper3,wingedPonie8,833
stressedCheese8,gutturalCow2,500
peacefulPlover6,jealousCow9,824
gutturalCow2,stressedCheese8,773
superiorEland9,mildStork5,840
superiorEland9,gutturalCow2,502
peacefulPlover6,drearyMeerkat1,217
euphoricBaboon9,enviousApples3,661
betrayedEggs5,worriedDove6,699
exactingFish4,wingedPonie8,700
madChough4,stressedCheese8,913
drearyMeerkat1,peacefulPlover6,100
mildStork5,enviousApples3,971
worriedDove6,wrathfulChough0,601
betrayedEggs5,stressedCheese8,563
madAntelope2,gutturalCow2,197
enviousApples3,gutturalCow2,374
euphoricBaboon9,thriftyViper3,297
betrayedEggs5,drearyMeerkat1,998
gutturalCow2,exactingFish4,653
drearyMeerkat1,drearyMeerkat1,282
gutturalCow2,jealousFlamingo1,255
stressedCheese8,euphoricBaboon9,630
enviousApples3,mildStork5,753
betrayedEggs5,thriftyViper3,964
wrathfulChough0,stressedCheese8,109
enviousApples3,thriftyViper3,792
dopeyFerret0,mildStork5,346
worriedDove6,peacefulPlover6,967
mildStork5,stressedCheese8,781
wingedPonie8,stressedCheese8,739
drearyMeerkat1,jealousCow9,343
thriftyViper3,mildStork5,114
madAntelope2,exactingFish4,922
sheepishHare2,exactingFish4,875
madChough4,worriedDove6,752
betrayedEggs5,gutturalCow2,426
jealousFlamingo1,wrathfulChough0,122
mildStork5,peacefulPlover6,605
dopeyFerret0,jealousFlamingo1,306
mildStork5,gutturalCow2,809
stressedCheese8,drearyMeerkat1,258
peacefulPlover6,gutturalCow2,168
jealousFlamingo1,madChough4,785
superiorEland9,dopeyFerret0,548
jealousFlamingo1,euphoricBaboon9,929
wingedPonie8,stressedCheese8,797
worriedDove6,sheepishHare2,155
mildStork5,peacefulPlover6,211
madChough4,superiorEland9,985
sheepishHare2,euphoricBaboon9,373
betrayedEggs5,worriedDove6,257
enviousApples3,exactingFish4,794
stressedCheese8,euphoricBaboon9,206
peacefulPlover6,drearyMeerkat1,527
euphoricBaboon9,stressedCheese8,564
betrayedEggs5,madChough4,931
worriedDove6,enviousApples3,743
madAntelope2,exactingFish4,681
superiorEland9,worriedDove6,721
wrathfulChough0,thriftyViper3,999
madChough4,worriedDove6,250
worriedDove6,sheepishHare2,557
mildStork5,stressedCheese8,507
euphoricBaboon9,gutturalCow2,676
mildStork5,worriedDove6,384
thriftyViper3,madChough4,293
exactingFish4,euphoricBaboon9,840
madChough4,madAntelope2,129
wrathfulChough0,gutturalCow2,962
jealousFlamingo1,exactingFish4,426
worriedDove6,jealousFlamingo1,100
